Year,State,Reason,Trips
2016,Queensland,Business,4649.91638
2016,Queensland,Holiday,9109.65488
2016,Queensland,Other,1199.412639
2016,Queensland,Visiting,7627.95082
2016,South Australia,Business,1366.659067
2016,South Australia,Holiday,2806.079307
2016,South Australia,Other,460.1510026
2016,South Australia,Visiting,2074.78984
2016,Victoria,Business,3807.561255
2016,Victoria,Holiday,10352.66114
2016,Victoria,Other,1169.492723
2016,Victoria,Visiting,7914.699136
2016,Western Australia,Business,2801.290407
2016,Western Australia,Holiday,4001.54851
2016,Western Australia,Other,510.2389798
2016,Western Australia,Visiting,2927.096396
